flat,mrt,mrt_dist,num_mrt_2km,supermarket_dist,num_supermarket_2km,hawker,hawker_dist,num_hawker_2km,school,school_dist,num_school_2km
941 TAMPINES AVE 5,TAMPINES WEST MRT STATION,0.505,6,0.458,14,Market Street Food Centre,0.624,1,Junyuan Primary School,0.242,12
114 HOUGANG AVE 1,KOVAN MRT STATION,0.876,5,0.185,11,Market Street Food Centre,0.716,2,Xinghua Primary School,0.528,6
461 CLEMENTI AVE 3,CLEMENTI MRT STATION,0.443,2,0.195,14,Blk 448 Clementi Ave 3,0.323,3,Clementi Primary School,0.569,4
413B FERNVALE LINK,LAYAR LRT STATION,0.301,11,0.337,15,Chomp Chomp Food Centre,3.125,0,Fernvale Primary School,0.476,9
528 SERANGOON NTH AVE 4,KOVAN MRT STATION,1.896,1,0.203,16,Chomp Chomp Food Centre,1.013,2,Rosyth School,0.354,7
139 BISHAN ST 12,BISHAN MRT STATION,0.778,7,0.47,12,Blk 210 Toa Payoh Lorong 8,0.582,7,Guangyang Primary School,0.364,13
552 PASIR RIS ST 51,PASIR RIS MRT STATION,0.714,4,0.571,16,Market Street Food Centre,2.595,0,Casuarina Primary School,0.745,11
147 BT BATOK WEST AVE 6,BUKIT BATOK MRT STATION,0.669,5,0.149,21,Market Street Food Centre,0.938,1,Princess Elizabeth Primary School,0.29,8
708 WOODLANDS DR 70,ADMIRALTY MRT STATION,0.408,4,0.362,14,Blks 20/21 Marsiling Lane,2.282,0,Admiralty Primary School,0.412,10
674 CHOA CHU KANG CRES,YEW TEE MRT STATION,0.447,3,0.496,7,Blks 20/21 Marsiling Lane,5.709,0,Unity Primary School,0.145,4
429 HOUGANG AVE 6,HOUGANG MRT STATION,0.483,10,0.308,16,Market Street Food Centre,2.0,2,Punggol Primary School,0.274,14
147 BISHAN ST 11,BRADDELL MRT STATION,0.999,8,0.368,12,Blk 210 Toa Payoh Lorong 8,0.406,5,First Toa Payoh Primary School,0.396,13
952 HOUGANG AVE 9,HOUGANG MRT STATION,1.687,7,0.199,18,Chomp Chomp Food Centre,1.747,2,Rosyth School,0.404,11
53 SIMS PL,ALJUNIED MRT STATION,0.35,13,0.512,27,Blk 117 Aljunied Ave 2,0.834,8,Geylang Methodist School (Primary),0.421,4
874A TAMPINES ST 84,TAMPINES WEST MRT STATION,1.083,4,0.346,10,Market Street Food Centre,1.621,1,Poi Ching School,0.605,5
160 LOR 1 TOA PAYOH,TOA PAYOH MRT STATION,0.333,5,0.313,19,Blk 93 Toa Payoh Lorong 4,0.971,6,CHIJ Primary (Toa Payoh),0.406,8
122 POTONG PASIR AVE 1,POTONG PASIR MRT STATION,0.51,8,0.282,15,Blk 210 Toa Payoh Lorong 8,1.382,5,Cedar Primary School,1.059,8
270A PUNGGOL FIELD,SOO TECK LRT STATION,0.28,22,0.274,17,Market Street Food Centre,5.183,0,Punggol Green Primary School,0.244,15
563 CHOA CHU KANG ST 52,YEW TEE MRT STATION,0.28,5,0.182,7,Market Street Food Centre,5.846,0,De La Salle School,0.295,6
777 PASIR RIS ST 71,PASIR RIS MRT STATION,1.346,1,0.528,6,Market Street Food Centre,3.38,0,Meridian Primary School,0.275,5
276 TAMPINES ST 22,SIMEI MRT STATION,0.558,8,0.121,18,Market Street Food Centre,0.705,1,Angsana Primary School,0.181,9
120B RIVERVALE DR,BAKAU LRT STATION,0.278,14,0.33,16,Market Street Food Centre,3.59,0,North Spring Primary School,0.193,16
464 CHOA CHU KANG AVE 4,SOUTH VIEW LRT STATION,1.117,5,0.365,9,Blk 505 Jurong West Street 52,3.583,0,Concord Primary School,0.345,3
272 CHOA CHU KANG AVE 2,SOUTH VIEW LRT STATION,0.318,7,0.216,11,Market Street Food Centre,3.938,0,Chua Chu Kang Primary School,0.161,6
253 YISHUN RING RD,YISHUN MRT STATION,0.896,1,0.205,13,Chong Pang Market & Food Centre,1.422,2,Xishan Primary School,0.382,8
570 ANG MO KIO AVE 3,ANG MO KIO MRT STATION,0.72,2,0.399,15,Blk 409 Ang Mo Kio Ave 10,0.788,4,Jing Shan Primary School,0.513,7
524 HOUGANG AVE 6,HOUGANG MRT STATION,0.358,7,0.372,17,Market Street Food Centre,1.737,2,Montfort Junior School,0.159,14
339 TAMPINES ST 33,TAMPINES EAST MRT STATION,0.752,7,0.398,17,Market Street Food Centre,1.735,1,East Spring Primary School,0.331,9
684D CHOA CHU KANG CRES,YEW TEE MRT STATION,0.793,1,0.84,6,Blks 20/21 Marsiling Lane,5.446,0,Unity Primary School,0.202,4
702 BEDOK RESERVOIR RD,BEDOK NORTH MRT STATION,0.296,5,0.319,16,Blk 538 Bedok North Street 3,0.854,4,Damai Primary School,0.327,5
471 ANG MO KIO AVE 10,ANG MO KIO MRT STATION,1.07,4,0.467,19,Blk 409 Ang Mo Kio Ave 10,0.181,4,Townsville Primary School,0.497,9
660 WOODLANDS RING RD,ADMIRALTY MRT STATION,0.588,4,0.531,13,Blks 20/21 Marsiling Lane,2.635,0,Woodlands Ring Primary School,0.227,10
139 TAMPINES ST 11,TAMPINES WEST MRT STATION,0.682,7,0.14,19,Market Street Food Centre,0.088,1,Tampines Primary School,0.404,11
703 BEDOK RESERVOIR RD,BEDOK NORTH MRT STATION,0.344,5,0.212,17,Blk 538 Bedok North Street 3,0.771,4,Damai Primary School,0.243,5
424 PASIR RIS DR 6,PASIR RIS MRT STATION,0.671,2,0.48,13,Market Street Food Centre,2.94,0,Casuarina Primary School,0.388,8
338 WOODLANDS AVE 1,MARSILING MRT STATION,0.811,4,0.157,8,Blks 20/21 Marsiling Lane,1.479,2,Fuchun Primary School,0.332,8
314C ANCHORVALE LINK,TONGKANG LRT STATION,0.42,17,0.596,15,Market Street Food Centre,3.595,0,Anchor Green Primary School,0.234,16
719 PASIR RIS ST 72,PASIR RIS MRT STATION,1.735,1,0.284,5,Market Street Food Centre,4.172,0,Park View Primary School,0.627,3
320 YISHUN CTRL,YISHUN MRT STATION,0.713,2,0.13,15,Chong Pang Market & Food Centre,1.449,2,Huamin Primary School,0.417,10
582 PASIR RIS ST 53,PASIR RIS MRT STATION,0.37,1,0.465,9,Market Street Food Centre,3.323,0,Elias Park Primary School,0.215,8
186A RIVERVALE DR,RUMBIA LRT STATION,0.174,23,0.141,19,Market Street Food Centre,4.339,0,Rivervale Primary School,0.129,17
157 BT BATOK ST 11,BUKIT BATOK MRT STATION,0.69,5,0.083,19,Market Street Food Centre,0.831,1,Princess Elizabeth Primary School,0.283,8
44 LENGKOK BAHRU,REDHILL MRT STATION,0.643,5,0.244,18,ABC Brickworks Market & Food Centre,0.399,6,Gan Eng Seng Primary School,0.449,7
538 JURONG WEST AVE 1,LAKESIDE MRT STATION,0.882,2,0.267,10,Blk 505 Jurong West Street 52,0.333,2,Rulang Primary School,0.49,8
631 CHOA CHU KANG NTH 6,YEW TEE MRT STATION,0.127,5,0.176,10,Market Street Food Centre,5.986,0,Yew Tee Primary School,0.321,7
109B DEPOT RD,TELOK BLANGAH MRT STATION,1.134,4,0.12,13,ABC Brickworks Market & Food Centre,0.662,5,Blangah Rise Primary School,0.544,5
345 CHOA CHU KANG LOOP,CHOA CHU KANG LRT STATION,0.225,10,0.256,12,Market Street Food Centre,4.418,0,South View Primary School,0.208,8
644 JURONG WEST ST 61,PIONEER MRT STATION,0.248,2,0.259,9,Blk 505 Jurong West Street 52,2.698,0,Jurong West Primary School,0.276,9
152 RIVERVALE CRES,RUMBIA LRT STATION,0.045,22,0.209,19,Market Street Food Centre,4.255,0,Rivervale Primary School,0.258,17
269C QUEEN ST,BUGIS MRT STATION,0.24,25,0.3,26,Market Street Food Centre,0.078,11,Stamford Primary School,0.527,3
640 BEDOK RESERVOIR RD,KAKI BUKIT MRT STATION,0.501,8,0.417,13,Blk 4A Eunos Crescent,1.304,2,Maha Bodhi School,0.571,5
116 PASIR RIS ST 11,PASIR RIS MRT STATION,0.773,4,0.474,14,Market Street Food Centre,2.773,0,Casuarina Primary School,0.53,11
106 BEDOK NTH AVE 4,BEDOK RESERVOIR MRT STATION,0.593,4,0.258,22,Market Street Food Centre,0.737,8,Red Swastika School,0.335,8
780A WOODLANDS CRES,ADMIRALTY MRT STATION,0.895,2,0.049,15,Blks 20/21 Marsiling Lane,2.676,0,Riverside Primary School,0.216,10
437 YISHUN AVE 6,YISHUN MRT STATION,1.639,2,0.332,15,Chong Pang Market & Food Centre,2.376,0,North View Primary School,0.649,7
664 YISHUN AVE 4,KHATIB MRT STATION,0.953,2,0.731,16,Chong Pang Market & Food Centre,1.869,2,Northland Primary School,0.087,9
462 HOUGANG AVE 10,HOUGANG MRT STATION,0.274,6,0.071,16,Market Street Food Centre,1.739,2,CHIJ Our Lady of the Nativity,0.348,12
206 CHOA CHU KANG CTRL,KEAT HONG LRT STATION,0.243,12,0.402,14,Market Street Food Centre,4.277,0,South View Primary School,0.255,8
572 HOUGANG ST 51,BUANGKOK MRT STATION,0.807,10,0.114,19,Market Street Food Centre,2.128,0,Yio Chu Kang Primary School,0.208,15
164C RIVERVALE CRES,RUMBIA LRT STATION,0.279,19,0.478,16,Market Street Food Centre,4.177,0,Mee Toh School,0.535,16
749 PASIR RIS ST 71,PASIR RIS MRT STATION,1.767,1,0.268,5,Market Street Food Centre,3.823,0,Meridian Primary School,0.318,4
661 JLN DAMAI,KAKI BUKIT MRT STATION,0.082,5,0.322,11,Blk 4A Eunos Crescent,1.615,2,Telok Kurau Primary School,0.509,5
257 BANGKIT RD,BANGKIT LRT STATION,0.178,13,0.067,8,Bukit Timah Market,4.33,0,Zhenghua Primary School,0.449,7
203 TOA PAYOH NTH,BRADDELL MRT STATION,0.317,7,0.596,14,Blk 93 Toa Payoh Lorong 4,0.399,6,Guangyang Primary School,0.402,10
475 SEGAR RD,SEGAR LRT STATION,0.36,11,0.35,8,Bukit Timah Market,5.486,0,Beacon Primary School,0.564,6
332 UBI AVE 1,UBI MRT STATION,0.505,10,0.336,18,Blk 4A Eunos Crescent,0.75,8,Maha Bodhi School,0.227,6
7 PINE CL,MOUNTBATTEN MRT STATION,0.163,8,0.263,23,Kallang Estate Market,0.182,6,Kong Hwa School,0.756,3
79A TOA PAYOH CTRL,TOA PAYOH MRT STATION,0.21,8,0.193,20,Blk 93 Toa Payoh Lorong 4,0.487,5,Kheng Cheng School,0.314,10
178 EDGEFIELD PLAINS,COVE LRT STATION,0.278,23,0.265,15,Market Street Food Centre,5.107,0,Edgefield Primary School,0.1,14
114 PENDING RD,PENDING LRT STATION,0.249,14,0.296,12,Bukit Timah Market,4.302,0,Zhenghua Primary School,0.196,8
158 WOODLANDS ST 13,MARSILING MRT STATION,0.185,4,0.185,6,Blks 20/21 Marsiling Lane,1.069,2,Marsiling Primary School,0.128,7
37 JLN RUMAH TINGGI,QUEENSTOWN MRT STATION,0.723,4,0.324,17,ABC Brickworks Market & Food Centre,0.285,5,Queenstown Primary School,0.727,6
126 BISHAN ST 12,BISHAN MRT STATION,0.645,7,0.351,12,Blk 210 Toa Payoh Lorong 8,0.711,7,Guangyang Primary School,0.3,13
214 BOON LAY PL,LAKESIDE MRT STATION,1.112,2,0.294,10,Blk 505 Jurong West Street 52,0.701,2,Corporation Primary School,0.555,10
341 CLEMENTI AVE 5,CLEMENTI MRT STATION,0.625,2,0.162,14,Blk 353 Clementi Ave 2,0.569,3,Pei Tong Primary School,0.366,5
805A KEAT HONG CL,SOUTH VIEW LRT STATION,0.874,7,0.541,11,Market Street Food Centre,3.296,0,Chua Chu Kang Primary School,0.544,5
232 YISHUN ST 21,YISHUN MRT STATION,0.63,2,0.149,15,Chong Pang Market & Food Centre,1.047,2,Xishan Primary School,0.131,8
524A PASIR RIS ST 51,PASIR RIS MRT STATION,0.253,3,0.178,13,Market Street Food Centre,2.885,0,Elias Park Primary School,0.459,9
852 TAMPINES ST 82,TAMPINES MRT STATION,0.778,4,0.383,11,Market Street Food Centre,1.219,1,Poi Ching School,0.563,9
243 BISHAN ST 22,ANG MO KIO MRT STATION,1.121,4,0.437,16,Blk 409 Ang Mo Kio Ave 10,1.198,3,Catholic High School (Primary),0.742,12
175 ANG MO KIO AVE 4,YIO CHU KANG MRT STATION,1.097,2,0.32,9,Sembawang Hill Food Centre,0.977,2,Mayflower Primary School,0.154,7
631 YISHUN ST 61,KHATIB MRT STATION,0.614,2,0.374,16,Chong Pang Market & Food Centre,1.818,2,Naval Base Primary School,0.23,9
53 NEW UPP CHANGI RD,TANAH MERAH MRT STATION,0.536,3,0.096,14,Blk 58 New Upper Changi Road,0.146,7,Bedok Green Primary School,0.516,5
105 ALJUNIED CRES,ALJUNIED MRT STATION,0.336,11,0.516,25,Blk 117 Aljunied Ave 2,0.493,8,Geylang Methodist School (Primary),0.241,5
108 JLN RAJAH,TOA PAYOH MRT STATION,1.031,8,0.452,21,Blk 75 Toa Payoh Lorong 5,0.899,6,Hong Wen School,0.762,7
557 HOUGANG ST 51,BUANGKOK MRT STATION,0.439,13,0.3,17,Market Street Food Centre,2.358,0,Palm View Primary School,0.434,16
577 ANG MO KIO AVE 10,ANG MO KIO MRT STATION,0.731,2,0.238,14,Blk 409 Ang Mo Kio Ave 10,1.012,4,Jing Shan Primary School,0.417,6
658D JURONG WEST ST 65,PIONEER MRT STATION,0.381,2,0.561,8,Taman Jurong Market & Food Centre,2.334,0,Frontier Primary School,0.147,10
802A KEAT HONG CL,SOUTH VIEW LRT STATION,0.671,8,0.339,13,Market Street Food Centre,3.49,0,Chua Chu Kang Primary School,0.402,5
142 JLN BT MERAH,TIONG BAHRU MRT STATION,1.022,8,0.68,21,Blk 112 Jalan Bukit Merah,0.402,11,CHIJ (Kellock),0.22,6
60 JLN BAHAGIA,BOON KENG MRT STATION,1.074,9,0.366,21,Blk 75 Toa Payoh Lorong 5,1.004,6,Hong Wen School,0.688,7
127A KIM TIAN RD,TIONG BAHRU MRT STATION,0.547,7,0.316,23,Tiong Bahru Market,0.427,14,Zhangde Primary School,0.472,7
784 CHOA CHU KANG DR,YEW TEE MRT STATION,0.313,5,0.273,11,Market Street Food Centre,5.762,0,Kranji Primary School,0.127,8
477C UPP SERANGOON VIEW,KANGKAR LRT STATION,0.563,11,0.216,13,Market Street Food Centre,3.014,0,North Spring Primary School,0.863,11
504 HOUGANG AVE 8,HOUGANG MRT STATION,0.524,7,0.185,20,Market Street Food Centre,1.567,2,Montfort Junior School,0.164,12
2C GEYLANG SERAI,PAYA LEBAR MRT STATION,0.578,10,0.09,24,Geylang Serai Market,0.09,10,Haig Girls' School,0.807,9
317 CLEMENTI AVE 4,CLEMENTI MRT STATION,0.352,2,0.319,13,Blk 448 Clementi Ave 3,0.522,3,Clementi Primary School,0.363,4
846 YISHUN RING RD,KHATIB MRT STATION,0.192,2,0.087,14,Chong Pang Market & Food Centre,1.758,2,Peiying Primary School,0.468,9
26 BENDEMEER RD,BOON KENG MRT STATION,0.183,10,0.538,26,North Bridge Road Market & Food Centre,1.352,6,Bendemeer Primary School,0.476,4
114 PASIR RIS ST 11,PASIR RIS MRT STATION,0.811,3,0.42,14,Market Street Food Centre,2.799,0,Casuarina Primary School,0.499,10
553 ANG MO KIO AVE 10,ANG MO KIO MRT STATION,0.904,2,0.372,14,Blk 409 Ang Mo Kio Ave 10,1.121,4,Jing Shan Primary School,0.569,8
848 JURONG WEST ST 81,PIONEER MRT STATION,1.077,2,0.435,8,Blk 505 Jurong West Street 52,2.973,0,Pioneer Primary School,0.48,8
23 LIM LIAK ST,TIONG BAHRU MRT STATION,0.529,11,0.278,25,Tiong Bahru Market,0.091,14,Zhangde Primary School,0.657,7
842B TAMPINES ST 82,TAMPINES WEST MRT STATION,0.633,4,0.32,12,Market Street Food Centre,1.049,1,Junyuan Primary School,0.427,11
634 ANG MO KIO AVE 6,YIO CHU KANG MRT STATION,0.187,2,0.919,10,Blk 724 Ang Mo Kio Ave 6,1.101,2,Anderson Primary School,0.363,6
325A SENGKANG EAST WAY,FARMWAY LRT STATION,0.429,21,0.399,15,Market Street Food Centre,3.861,0,Springdale Primary School,0.157,16
307B ANG MO KIO AVE 1,ANG MO KIO MRT STATION,0.711,5,0.317,17,Blk 724 Ang Mo Kio Ave 6,0.731,4,Ang Mo Kio Primary School,0.677,8
737 JURONG WEST ST 75,BOON LAY MRT STATION,1.055,2,0.337,9,Blk 505 Jurong West Street 52,1.95,1,Westwood Primary School,0.085,10
184 STIRLING RD,QUEENSTOWN MRT STATION,0.178,5,0.541,15,Tanglin Halt Market,0.927,4,Queenstown Primary School,0.342,3
642A PUNGGOL DR,KADALOOR LRT STATION,0.16,14,0.161,10,Market Street Food Centre,5.506,0,Waterway Primary School,0.225,9
476 TAMPINES ST 44,TAMPINES EAST MRT STATION,0.557,5,0.099,18,Market Street Food Centre,2.004,0,Tampines North Primary School,0.541,12
408B FERNVALE RD,FERNVALE LRT STATION,0.32,7,0.266,13,Chomp Chomp Food Centre,2.938,0,Fernvale Primary School,0.231,9
620 ANG MO KIO AVE 9,YIO CHU KANG MRT STATION,0.605,2,0.915,9,Blk 724 Ang Mo Kio Ave 6,1.375,2,Anderson Primary School,0.288,5
185 BEDOK NTH RD,TANAH MERAH MRT STATION,0.62,3,0.235,17,Blk 58 New Upper Changi Road,0.228,8,Bedok Green Primary School,0.45,6
106A PUNGGOL FIELD,MERIDIAN LRT STATION,0.073,22,0.059,15,Market Street Food Centre,4.834,0,Mee Toh School,0.221,15
473A FERNVALE ST,KUPANG LRT STATION,0.039,11,0.052,10,Chomp Chomp Food Centre,4.063,0,Sengkang Green Primary School,0.869,7
207 BISHAN ST 23,BISHAN MRT STATION,0.384,6,0.465,16,Blk 409 Ang Mo Kio Ave 10,1.187,7,Catholic High School (Primary),0.443,14
270 PASIR RIS ST 21,TAMPINES EAST MRT STATION,1.502,2,0.104,11,Market Street Food Centre,3.132,0,White Sands Primary School,0.387,6
553 CHOA CHU KANG NTH 6,YEW TEE MRT STATION,0.473,4,0.368,5,Blk 505 Jurong West Street 52,5.822,0,De La Salle School,0.133,7
494B TAMPINES AVE 9,TAMPINES EAST MRT STATION,0.783,4,0.301,17,Market Street Food Centre,2.147,0,Tampines North Primary School,0.524,12
259C PUNGGOL FIELD,SOO TECK LRT STATION,0.181,20,0.163,16,Market Street Food Centre,5.136,0,Punggol Green Primary School,0.455,13
731 JURONG WEST ST 72,PIONEER MRT STATION,0.887,2,0.443,9,Blk 505 Jurong West Street 52,2.248,0,West Grove Primary School,0.097,9
177 YUNG SHENG RD,LAKESIDE MRT STATION,1.21,3,0.197,13,Taman Jurong Market & Food Centre,0.158,2,Lakeside Primary School,0.648,5
424 WOODLANDS ST 41,MARSILING MRT STATION,0.584,4,0.489,8,Blks 20/21 Marsiling Lane,1.802,2,Fuchun Primary School,0.512,5
518C TAMPINES CTRL 7,TAMPINES MRT STATION,0.472,4,0.53,14,Market Street Food Centre,1.368,1,Poi Ching School,0.44,9
741 PASIR RIS ST 71,PASIR RIS MRT STATION,1.517,1,0.237,5,Market Street Food Centre,3.675,0,Meridian Primary School,0.279,4
72 TELOK BLANGAH HTS,TELOK BLANGAH MRT STATION,0.593,5,0.314,14,Blk 11 Telok Blangah Crescent,1.018,5,Blangah Rise Primary School,0.107,3
160 YUNG PING RD,LAKESIDE MRT STATION,1.674,2,0.366,10,Taman Jurong Market & Food Centre,0.618,1,Lakeside Primary School,1.073,4
461 SEGAR RD,SEGAR LRT STATION,0.205,11,0.236,8,Bukit Timah Market,5.281,0,Greenridge Primary School,0.406,6
228 YISHUN ST 21,YISHUN MRT STATION,0.709,1,0.086,13,Chong Pang Market & Food Centre,1.089,2,Xishan Primary School,0.208,8
639 BEDOK RESERVOIR RD,KAKI BUKIT MRT STATION,0.56,9,0.359,13,Blk 4A Eunos Crescent,1.254,2,Maha Bodhi School,0.512,5
200D SENGKANG EAST RD,RENJONG LRT STATION,0.283,17,0.115,18,Market Street Food Centre,3.21,0,Palm View Primary School,0.428,16
348C YISHUN AVE 11,YISHUN MRT STATION,0.844,2,0.324,16,Chong Pang Market & Food Centre,1.597,2,Huamin Primary School,0.224,10
472 TAMPINES ST 44,TAMPINES EAST MRT STATION,0.427,5,0.062,19,Market Street Food Centre,1.881,1,Tampines North Primary School,0.531,12
680 HOUGANG AVE 8,HOUGANG MRT STATION,0.787,6,0.191,19,Market Street Food Centre,1.425,2,Xinmin Primary School,0.257,11
648B JURONG WEST ST 61,PIONEER MRT STATION,0.128,2,0.384,9,Blk 505 Jurong West Street 52,2.575,0,Jurong West Primary School,0.11,9
610 ELIAS RD,PASIR RIS MRT STATION,0.84,1,0.364,7,Market Street Food Centre,3.323,0,Elias Park Primary School,0.354,6
685 HOUGANG ST 61,HOUGANG MRT STATION,0.819,6,0.154,19,Market Street Food Centre,1.759,2,Yio Chu Kang Primary School,0.328,13
259 BT PANJANG RING RD,PENDING LRT STATION,0.237,13,0.076,10,Bukit Timah Market,4.195,0,Zhenghua Primary School,0.49,7
607 SENJA RD,SENJA LRT STATION,0.099,17,0.284,13,Bukit Timah Market,5.028,0,West View Primary School,0.191,11
846 WOODLANDS AVE 4,ADMIRALTY MRT STATION,0.88,4,0.301,14,Blks 20/21 Marsiling Lane,1.826,2,Evergreen Primary School,0.134,10
227 YISHUN ST 21,YISHUN MRT STATION,0.648,2,0.077,14,Chong Pang Market & Food Centre,0.987,2,Xishan Primary School,0.216,8
677C JURONG WEST ST 64,BOON LAY MRT STATION,0.757,3,0.417,10,Blk 505 Jurong West Street 52,1.574,1,Westwood Primary School,0.533,11
688B CHOA CHU KANG DR,YEW TEE MRT STATION,0.728,1,0.816,6,Blks 20/21 Marsiling Lane,5.326,0,Unity Primary School,0.396,4
704 TAMPINES ST 71,TAMPINES MRT STATION,0.673,4,0.341,14,Market Street Food Centre,1.49,1,Poi Ching School,0.245,9
515 WEST COAST RD,CLEMENTI MRT STATION,0.952,1,0.396,11,Blk 726 Clementi West Street 2,0.709,3,Qifa Primary School,0.636,4
340 HOUGANG AVE 7,HOUGANG MRT STATION,0.624,5,0.439,15,Market Street Food Centre,1.794,2,CHIJ Our Lady of the Nativity,0.351,10
5 MARSILING DR,MARSILING MRT STATION,0.81,3,0.81,7,Blks 20/21 Marsiling Lane,0.448,2,Marsiling Primary School,0.679,6
221 JURONG EAST ST 21,CHINESE GARDEN MRT STATION,0.506,5,0.477,19,Market Street Food Centre,0.307,2,Fuhua Primary School,0.488,6
405C FERNVALE LANE,FERNVALE LRT STATION,0.436,7,0.342,11,Chomp Chomp Food Centre,2.865,0,Fernvale Primary School,0.166,7
656 JLN TENAGA,KAKI BUKIT MRT STATION,0.172,5,0.394,10,Blk 4A Eunos Crescent,1.523,2,Telok Kurau Primary School,0.479,5
683 HOUGANG AVE 8,HOUGANG MRT STATION,0.704,6,0.001,19,Market Street Food Centre,1.575,2,Montfort Junior School,0.332,12
889C WOODLANDS DR 50,WOODLANDS MRT STATION,0.533,4,0.304,14,Blks 20/21 Marsiling Lane,1.818,2,Woodlands Primary School,0.168,11
669 CHOA CHU KANG CRES,YEW TEE MRT STATION,0.603,2,0.672,6,Blks 20/21 Marsiling Lane,5.504,0,Unity Primary School,0.161,4
936 TAMPINES AVE 5,TAMPINES WEST MRT STATION,0.382,6,0.446,20,Market Street Food Centre,0.348,2,Junyuan Primary School,0.316,12
672 HOUGANG AVE 8,HOUGANG MRT STATION,0.937,6,0.223,19,Market Street Food Centre,1.508,2,Xinmin Primary School,0.168,12
777 WOODLANDS CRES,ADMIRALTY MRT STATION,0.826,3,0.2,15,Blks 20/21 Marsiling Lane,2.501,0,Riverside Primary School,0.293,10
314B ANCHORVALE LINK,TONGKANG LRT STATION,0.385,17,0.643,18,Market Street Food Centre,3.548,0,Anchor Green Primary School,0.202,16
322 SERANGOON AVE 3,SERANGOON MRT STATION,0.431,5,0.351,8,Serangoon Garden Market,1.271,4,Yangzheng Primary School,0.344,13
138C YUAN CHING RD,LAKESIDE MRT STATION,1.777,2,0.376,12,Taman Jurong Market & Food Centre,0.737,1,Lakeside Primary School,1.253,2
935 YISHUN CTRL 1,YISHUN MRT STATION,0.504,2,0.264,16,Chong Pang Market & Food Centre,1.133,2,Northland Primary School,0.67,10
247 KIM KEAT LINK,TOA PAYOH MRT STATION,0.882,7,0.266,20,Blk 75 Toa Payoh Lorong 5,0.606,6,Pei Chun Public School,0.699,9
57 TELOK BLANGAH HTS,TELOK BLANGAH MRT STATION,0.532,5,0.425,12,Blk 11 Telok Blangah Crescent,0.74,5,Blangah Rise Primary School,0.47,5
305 HOUGANG AVE 5,HOUGANG MRT STATION,0.532,4,0.11,15,Market Street Food Centre,1.311,2,Holy Innocents' Primary School,0.071,10
412 JURONG WEST ST 42,LAKESIDE MRT STATION,1.148,2,0.381,8,Blk 505 Jurong West Street 52,0.944,2,Shuqun Primary School,0.804,6
315C YISHUN AVE 9,YISHUN MRT STATION,0.978,1,0.273,13,Chong Pang Market & Food Centre,1.646,2,Huamin Primary School,0.606,9
60 TEBAN GDNS RD,JURONG EAST MRT STATION,1.219,2,0.053,15,Market Street Food Centre,2.295,0,Fuhua Primary School,1.547,1
565 ANG MO KIO AVE 3,ANG MO KIO MRT STATION,0.98,1,0.606,13,Blk 409 Ang Mo Kio Ave 10,0.831,4,Jing Shan Primary School,0.755,7
535A SERANGOON NTH AVE 4,KOVAN MRT STATION,1.887,2,0.347,15,Chomp Chomp Food Centre,1.364,2,Rosyth School,0.091,7
430B FERNVALE LINK,LAYAR LRT STATION,0.284,10,0.359,10,Chomp Chomp Food Centre,3.53,0,Sengkang Green Primary School,0.354,8
402 ADMIRALTY LINK,SEMBAWANG MRT STATION,0.717,1,0.208,13,Chong Pang Market & Food Centre,2.81,0,Endeavour Primary School,0.186,7
633A PUNGGOL DR,OASIS LRT STATION,0.115,18,0.31,13,Market Street Food Centre,5.566,0,Horizon Primary School,0.203,14
43 CAMBRIDGE RD,FARRER PARK MRT STATION,0.618,18,0.006,28,Pek Kio Market & Food Centre,0.125,8,Farrer Park Primary School,0.357,6
152 LOR 2 TOA PAYOH,TOA PAYOH MRT STATION,0.247,8,0.197,19,Blk 93 Toa Payoh Lorong 4,0.624,5,Kheng Cheng School,0.378,10
100 LOR 1 TOA PAYOH,BRADDELL MRT STATION,0.223,6,0.651,16,Blk 93 Toa Payoh Lorong 4,0.159,6,Kheng Cheng School,0.294,10
214 BEDOK NTH ST 1,BEDOK MRT STATION,0.351,4,0.095,21,Blk 216 Bedok North Street 1,0.154,7,Fengshan Primary School,0.443,7
634 WOODLANDS RING RD,ADMIRALTY MRT STATION,0.524,4,0.45,14,Chong Pang Market & Food Centre,2.846,0,Greenwood Primary School,0.448,10
422 ANG MO KIO AVE 3,ANG MO KIO MRT STATION,0.335,4,0.314,14,Blk 409 Ang Mo Kio Ave 10,0.703,4,Teck Ghee Primary School,0.286,7
217 BEDOK NTH ST 1,BEDOK MRT STATION,0.542,4,0.272,21,Blk 216 Bedok North Street 1,0.082,7,Fengshan Primary School,0.41,7
176 BT BATOK WEST AVE 8,BUKIT BATOK MRT STATION,0.969,5,0.201,21,Market Street Food Centre,0.496,1,Princess Elizabeth Primary School,0.354,8
31 BEDOK STH AVE 2,BEDOK MRT STATION,0.92,3,0.402,20,Blk 58 New Upper Changi Road,0.355,9,Bedok Green Primary School,0.057,6
162B RIVERVALE CRES,RUMBIA LRT STATION,0.266,19,0.465,16,Market Street Food Centre,4.239,0,Mee Toh School,0.474,15
840 WOODLANDS ST 82,WOODLANDS MRT STATION,0.99,4,0.192,14,Blks 20/21 Marsiling Lane,1.69,2,Evergreen Primary School,0.245,10
265C PUNGGOL WAY,SOO TECK LRT STATION,0.148,20,0.194,15,Market Street Food Centre,5.263,0,Valour Primary School,0.213,14
