flat,mrt,mrt_dist,num_mrt_2km,supermarket_dist,num_supermarket_2km,hawker,hawker_dist,num_hawker_2km,school,school_dist,num_school_2km
167C SIMEI LANE,UPPER CHANGI MRT STATION,0.265,6,0.712,13,Market Street Food Centre,1.666,1,Changkat Primary School,0.872,7
512 WEST COAST DR,CLEMENTI MRT STATION,0.793,1,0.247,11,Blk 448 Clementi Ave 3,0.606,3,Qifa Primary School,0.53,4
347 KANG CHING RD,LAKESIDE MRT STATION,0.425,3,0.603,12,Taman Jurong Market & Food Centre,0.657,3,Lakeside Primary School,0.346,7
448 ANG MO KIO AVE 10,ANG MO KIO MRT STATION,0.81,3,0.444,14,Blk 409 Ang Mo Kio Ave 10,0.544,4,Teck Ghee Primary School,0.639,9
334C ANCHORVALE CRES,FARMWAY LRT STATION,0.054,20,0.081,16,Market Street Food Centre,4.259,0,Springdale Primary School,0.305,15
666B PUNGGOL DR,KADALOOR LRT STATION,0.278,15,0.272,12,Market Street Food Centre,5.734,0,Horizon Primary School,0.324,10
434 BT PANJANG RING RD,FAJAR LRT STATION,0.11,12,0.21,9,Bukit Timah Market,5.124,0,Greenridge Primary School,0.305,7
143 PASIR RIS ST 11,TAMPINES EAST MRT STATION,0.933,3,0.658,14,Market Street Food Centre,2.563,0,White Sands Primary School,0.396,9
866 JURONG WEST ST 81,PIONEER MRT STATION,1.451,2,0.907,8,Blk 505 Jurong West Street 52,2.559,0,Pioneer Primary School,0.199,8
344 CLEMENTI AVE 5,CLEMENTI MRT STATION,0.547,2,0.046,14,Blk 353 Clementi Ave 2,0.461,3,Pei Tong Primary School,0.27,5
311B CLEMENTI AVE 4,CLEMENTI MRT STATION,0.498,2,0.427,13,Blk 448 Clementi Ave 3,0.689,3,Pei Tong Primary School,0.42,4
685 RACE COURSE RD,FARRER PARK MRT STATION,0.347,15,0.038,28,Berseh Food Centre,0.737,9,Farrer Park Primary School,0.699,5
389 YISHUN AVE 6,YISHUN MRT STATION,1.449,1,0.524,12,Chong Pang Market & Food Centre,2.178,0,North View Primary School,0.227,9
558 JURONG WEST ST 42,LAKESIDE MRT STATION,1.171,1,0.266,7,Blk 505 Jurong West Street 52,0.517,1,Rulang Primary School,0.834,6
